date,start_date,time,wait_time
2016-01-02,2016-01-02,21:20:50,10
2016-01-04,2016-01-04,14:06:19,65
2016-01-04,2016-01-04,17:01:13,25
2016-01-18,2016-01-18,14:47:34,35
2016-01-20,2016-01-20,12:55:30,20
2016-01-23,2016-01-23,12:52:47,20
2016-01-30,2016-01-30,16:03:49,30
2016-02-06,2016-02-06,10:39:21,25
2016-02-15,2016-02-15,14:35:29,30
2016-02-19,2016-02-19,13:46:55,30
2016-02-19,2016-02-19,13:55:14,30
2016-02-27,2016-02-27,14:12:06,15
2016-03-05,2016-03-05,12:13:11,20
2016-03-06,2016-03-06,14:05:35,20
2016-03-15,2016-03-15,10:24:08,25
2016-03-15,2016-03-15,11:55:25,30
2016-03-15,2016-03-15,12:05:43,30
2016-03-16,2016-03-16,10:51:00,25
2016-03-25,2016-03-25,11:25:07,20
2016-03-26,2016-03-26,10:51:26,20
2016-03-26,2016-03-26,21:17:25,20
2016-04-04,2016-04-04,12:16:59,45
2016-04-07,2016-04-07,15:20:46,35
2016-04-10,2016-04-10,13:19:53,20
2016-04-25,2016-04-25,14:08:39,20
2016-04-26,2016-04-26,13:03:44,20
2016-04-28,2016-04-28,14:44:04,30
2016-05-15,2016-05-15,18:01:37,15
2016-05-27,2016-05-27,13:38:11,30
2016-06-03,2016-06-03,15:33:20,35
2016-06-04,2016-06-04,14:10:35,20
2016-06-05,2016-06-05,16:40:29,30
2016-06-08,2016-06-08,11:37:26,20
2016-06-08,2016-06-08,11:43:47,20
2016-06-08,2016-06-08,11:53:40,35
2016-06-09,2016-06-09,11:47:36,25
2016-06-11,2016-06-11,11:07:43,20
2016-06-26,2016-06-26,18:43:58,20
2016-06-30,2016-06-30,10:58:15,35
2016-07-07,2016-07-07,10:18:45,15
2016-07-20,2016-07-20,13:56:59,30
2016-07-21,2016-07-21,18:11:31,15
2016-07-30,2016-07-30,14:41:45,20
2016-08-01,2016-08-01,18:56:17,20
2016-08-05,2016-08-05,16:30:49,25
2016-08-09,2016-08-09,10:21:18,20
2016-08-17,2016-08-17,11:15:09,20
2016-08-20,2016-08-20,12:56:08,15
2016-08-24,2016-08-24,14:21:16,15
2016-09-14,2016-09-14,12:36:31,20
2016-09-30,2016-09-30,15:34:39,25
2016-10-01,2016-10-01,12:27:28,20
2016-10-03,2016-10-03,14:25:06,15
2016-10-03,2016-10-03,15:43:37,20
2016-10-03,2016-10-03,17:00:04,20
2016-10-05,2016-10-05,18:07:18,25
2016-10-10,2016-10-10,14:50:36,15
2016-10-12,2016-10-12,16:47:59,20
2016-10-18,2016-10-18,14:50:36,20
2016-10-22,2016-10-22,16:47:46,20
2016-10-25,2016-10-25,16:20:02,20
2016-10-28,2016-10-28,18:55:33,25
2016-11-10,2016-11-10,15:29:23,25
2016-11-10,2016-11-10,16:23:01,25
2016-11-12,2016-11-12,12:48:40,20
2016-11-12,2016-11-12,16:26:57,20
2016-11-13,2016-11-13,12:03:09,25
2016-12-16,2016-12-16,10:42:29,25
2016-12-16,2016-12-16,12:23:05,25
2016-12-17,2016-12-17,14:32:25,20
2016-12-27,2016-12-27,12:11:49,45
2016-12-28,2016-12-28,09:48:48,20
2016-12-28,2016-12-28,15:24:09,50
2017-01-01,2017-01-01,11:27:19,15
2017-01-01,2017-01-01,14:56:05,15
2017-01-16,2017-01-16,12:30:27,20
2017-01-22,2017-01-22,12:39:06,20
2017-01-25,2017-01-25,14:57:40,20
2017-01-26,2017-01-26,11:57:02,25
2017-02-10,2017-02-10,13:26:04,15
2017-02-14,2017-02-14,12:06:48,20
2017-02-22,2017-02-22,10:29:43,30
2017-02-22,2017-02-22,11:27:55,25
2017-02-25,2017-02-25,14:15:38,30
2017-03-14,2017-03-14,16:38:00,45
2017-03-19,2017-03-19,13:21:52,10
2017-03-20,2017-03-20,12:46:24,20
2017-03-26,2017-03-26,11:55:05,15
2017-03-26,2017-03-26,15:22:17,20
2017-04-11,2017-04-11,11:26:54,20
2017-05-12,2017-05-12,09:28:11,20
2017-05-17,2017-05-17,13:44:05,20
2017-05-23,2017-05-23,17:42:52,45
2017-05-26,2017-05-26,15:52:24,20
2017-06-12,2017-06-12,12:13:40,20
2017-06-23,2017-06-23,12:48:25,30
2017-08-10,2017-08-10,18:43:23,30
2017-08-13,2017-08-13,12:40:28,10
2017-08-13,2017-08-13,12:46:57,20
2017-08-19,2017-08-19,17:11:24,25
2017-08-25,2017-08-25,12:58:54,20
2017-09-21,2017-09-21,09:51:37,30
2017-09-22,2017-09-22,15:41:47,25
2017-09-25,2017-09-25,15:17:14,20
2017-10-01,2017-10-01,10:11:32,30
2017-10-13,2017-10-13,13:47:48,25
2017-10-22,2017-10-22,18:19:02,40
2017-10-29,2017-10-29,18:08:34,35
2017-11-07,2017-11-07,14:30:47,20
2017-11-20,2017-11-20,10:49:52,20
2017-11-23,2017-11-23,19:59:28,25
2017-11-24,2017-11-24,13:43:54,25
2017-11-29,2017-11-29,17:20:09,35
2017-11-30,2017-11-30,09:55:55,35
2017-12-06,2017-12-06,13:46:50,20
2017-12-17,2017-12-17,14:02:50,10
2017-12-21,2017-12-21,14:33:50,20
2017-12-26,2017-12-26,11:12:10,15
2017-12-28,2017-12-28,11:32:38,20
2017-12-28,2017-12-28,12:08:40,35
2017-12-28,2017-12-28,13:36:00,45
2017-12-28,2017-12-28,14:22:53,45
2018-01-04,2018-01-04,12:38:30,35
2018-01-05,2018-01-05,11:48:00,30
2018-01-07,2018-01-07,11:45:02,25
2018-01-13,2018-01-13,13:25:38,20
2018-01-14,2018-01-14,12:49:34,20
2018-01-14,2018-01-14,13:29:24,20
2018-01-16,2018-01-16,10:35:50,35
2018-01-16,2018-01-16,15:13:14,30
2018-01-16,2018-01-16,16:06:30,30
2018-01-18,2018-01-18,10:37:52,30
2018-01-19,2018-01-19,17:34:34,15
2018-01-21,2018-01-21,14:15:18,20
2018-01-21,2018-01-21,14:55:10,30
2018-01-25,2018-01-25,15:45:36,25
2018-01-27,2018-01-27,11:45:20,20
2018-02-02,2018-02-02,13:32:10,30
2018-02-08,2018-02-08,15:13:51,25
2018-02-12,2018-02-12,14:26:37,30
2018-02-12,2018-02-12,18:21:24,20
2018-02-13,2018-02-13,11:54:12,25
2018-02-15,2018-02-15,14:26:48,20
2018-03-13,2018-03-13,11:18:39,20
2018-03-13,2018-03-13,14:27:48,20
2018-03-15,2018-03-15,12:20:48,25
2018-03-25,2018-03-25,14:01:14,20
2018-03-26,2018-03-26,12:43:24,20
2018-03-26,2018-03-26,13:41:00,25
2018-03-28,2018-03-28,14:12:06,20
2018-03-28,2018-03-28,14:26:07,20
2018-03-28,2018-03-28,14:47:06,20
2018-03-28,2018-03-28,14:54:08,30
2018-03-28,2018-03-28,14:59:07,30
2018-03-28,2018-03-28,15:05:09,30
2018-03-28,2018-03-28,15:12:07,30
2018-03-28,2018-03-28,15:19:06,30
2018-03-28,2018-03-28,15:26:08,30
2018-03-28,2018-03-28,15:41:08,15
2018-03-28,2018-03-28,15:47:07,20
2018-03-28,2018-03-28,15:54:08,20
2018-03-28,2018-03-28,15:59:07,20
2018-03-28,2018-03-28,16:05:08,20
2018-03-28,2018-03-28,16:12:08,20
2018-03-28,2018-03-28,16:19:07,20
