date,start_date,time,wait_time
2025-05-13,2025-05-13,09:21:17,5
2025-05-13,2025-05-13,09:30:08,5
2025-05-13,2025-05-13,09:36:07,5
2025-05-13,2025-05-13,09:42:07,5
2025-05-13,2025-05-13,09:48:12,5
2025-05-13,2025-05-13,09:54:06,5
2025-05-13,2025-05-13,09:58:52,5
2025-05-13,2025-05-13,10:06:09,5
2025-05-13,2025-05-13,10:12:11,5
2025-05-13,2025-05-13,10:18:07,5
2025-05-13,2025-05-13,10:21:13,5
2025-05-13,2025-05-13,10:30:06,5
2025-05-13,2025-05-13,10:36:09,5
2025-05-13,2025-05-13,10:41:26,5
2025-05-13,2025-05-13,10:48:17,5
2025-05-13,2025-05-13,10:54:07,5
2025-05-13,2025-05-13,11:00:13,5
2025-05-13,2025-05-13,11:01:37,5
2025-05-13,2025-05-13,11:12:17,5
2025-05-13,2025-05-13,11:18:08,5
2025-05-13,2025-05-13,11:20:56,5
2025-05-13,2025-05-13,11:28:08,5
2025-05-13,2025-05-13,11:36:08,5
2025-05-13,2025-05-13,11:42:07,5
2025-05-13,2025-05-13,11:48:12,5
2025-05-13,2025-05-13,11:54:08,5
2025-05-13,2025-05-13,12:00:14,5
2025-05-13,2025-05-13,12:06:10,5
2025-05-13,2025-05-13,12:12:10,5
2025-05-13,2025-05-13,12:18:07,5
2025-05-13,2025-05-13,12:20:10,5
2025-05-13,2025-05-13,12:30:08,5
2025-05-13,2025-05-13,12:36:09,5
2025-05-13,2025-05-13,12:40:07,5
2025-05-13,2025-05-13,12:48:11,5
2025-05-13,2025-05-13,12:54:06,5
2025-05-13,2025-05-13,13:00:10,5
2025-05-13,2025-05-13,13:02:43,5
2025-05-13,2025-05-13,13:12:10,5
2025-05-13,2025-05-13,13:14:28,5
2025-05-13,2025-05-13,13:24:08,5
2025-05-13,2025-05-13,13:30:07,5
2025-05-13,2025-05-13,13:36:09,5
2025-05-13,2025-05-13,13:41:00,5
2025-05-13,2025-05-13,13:48:13,5
2025-05-13,2025-05-13,13:54:06,5
2025-05-13,2025-05-13,14:00:17,5
2025-05-13,2025-05-13,14:02:01,5
2025-05-13,2025-05-13,14:12:12,5
2025-05-13,2025-05-13,14:18:07,5
2025-05-13,2025-05-13,14:20:23,5
2025-05-13,2025-05-13,14:30:07,5
2025-05-13,2025-05-13,14:36:09,5
2025-05-13,2025-05-13,14:40:06,5
