ride_name,duration,min_height,has_express,is_kids_ride,is_thrill_ride,is_dark_ride,is_water_ride,has_indoor_queue
caroseussel,2,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
doctor-dooms-fearfall,2,52,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
dragon-challenge,2.5,54,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
dudley-dorights-ripsaw-falls,5.5,44,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
flight-of-the-hippogriff,1,36,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
hagrids-magical-creatures-motorbike-adventure,3.5,48,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
harry-potter-and-the-forbidden-journey,4,48,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
hogwarts-express-hogsmeade-station,4,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
jurassic-park-river-adventure,5.5,42,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
jurassic-world-velocicoaster,2,51,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
one-fish-two-fish-red-fish-blue-fish,3,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
popeye-blutos-bilgerat-barges,6,42,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
poseidons-fury,25,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
pteranodon-flyers,1,36,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
raptor-encounter,3,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
skull-island-reign-of-kong,6,36,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
storm-force-accelatron,3,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
the-amazing-adventures-of-spiderman,5,40,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
the-cat-in-the-hat,6,36,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
the-high-in-the-sky-seuss-trolley-train-ride,6,36,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
the-incredible-hulk-coaster,2.25,54,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
