date,land,show_name,showtime
2018-12-04,Seuss Landing,The Grinchmas Who-liday Spectacular,11:30:00
2018-12-04,Seuss Landing,The Grinchmas Who-liday Spectacular,12:30:00
2018-12-04,Seuss Landing,The Grinchmas Who-liday Spectacular,13:30:00
2018-12-04,Seuss Landing,The Grinchmas Who-liday Spectacular,15:45:00
2018-12-04,Seuss Landing,The Grinchmas Who-liday Spectacular,16:45:00
2018-12-04,Seuss Landing,The Grinchmas Who-liday Spectacular,17:45:00
2018-12-04,Seuss Landing,Oh! The Stories You'll Hear!,11:00:00
2018-12-04,Seuss Landing,Oh! The Stories You'll Hear!,12:00:00
2018-12-04,Seuss Landing,Oh! The Stories You'll Hear!,13:00:00
2018-12-04,Seuss Landing,Oh! The Stories You'll Hear!,15:15:00
2018-12-04,Seuss Landing,Oh! The Stories You'll Hear!,16:15:00
2018-12-04,Seuss Landing,Oh! The Stories You'll Hear!,17:15:00
2018-12-04,The Wizarding World of Harry Potter - Hogsmeade,Frog Choir,10:30:00
2018-12-04,The Wizarding World of Harry Potter - Hogsmeade,Frog Choir,11:30:00
2018-12-04,The Wizarding World of Harry Potter - Hogsmeade,Frog Choir,12:30:00
2018-12-04,The Wizarding World of Harry Potter - Hogsmeade,Frog Choir,14:00:00
2018-12-04,The Wizarding World of Harry Potter - Hogsmeade,Frog Choir,15:00:00
2018-12-04,The Wizarding World of Harry Potter - Hogsmeade,Frog Choir,16:00:00
2018-12-04,The Wizarding World of Harry Potter - Hogsmeade,Triwizard Spirit Rally,11:00:00
2018-12-04,The Wizarding World of Harry Potter - Hogsmeade,Triwizard Spirit Rally,12:00:00
2018-12-04,The Wizarding World of Harry Potter - Hogsmeade,Triwizard Spirit Rally,13:00:00
2018-12-04,The Wizarding World of Harry Potter - Hogsmeade,Triwizard Spirit Rally,14:30:00
2018-12-04,The Wizarding World of Harry Potter - Hogsmeade,Triwizard Spirit Rally,15:30:00
2018-12-04,The Wizarding World of Harry Potter - Hogsmeade,Triwizard Spirit Rally,16:30:00
2018-12-05,Seuss Landing,The Grinchmas Who-liday Spectacular,11:30:00
2018-12-05,Seuss Landing,The Grinchmas Who-liday Spectacular,12:30:00
2018-12-05,Seuss Landing,The Grinchmas Who-liday Spectacular,13:30:00
2018-12-05,Seuss Landing,The Grinchmas Who-liday Spectacular,15:45:00
2018-12-05,Seuss Landing,The Grinchmas Who-liday Spectacular,16:45:00
2018-12-05,Seuss Landing,The Grinchmas Who-liday Spectacular,17:45:00
2018-12-05,Seuss Landing,Oh! The Stories You'll Hear!,11:00:00
2018-12-05,Seuss Landing,Oh! The Stories You'll Hear!,12:00:00
2018-12-05,Seuss Landing,Oh! The Stories You'll Hear!,13:00:00
